region,year,extent,n_days
SoutheasternBering,1985,54436.31110575583,365
SoutheasternBering,1986,61789.68748788056,365
SoutheasternBering,1987,34070.275781965254,365
SoutheasternBering,1988,57195.06496260014,366
SoutheasternBering,1989,44748.60626516318,365
SoutheasternBering,1990,58165.03880666622,365
SoutheasternBering,1991,76185.19760770483,365
SoutheasternBering,1992,81395.15917699311,366
SoutheasternBering,1993,48591.656936950596,365
SoutheasternBering,1994,66013.70147632799,365
SoutheasternBering,1995,83718.71765660694,365
SoutheasternBering,1996,35680.62094657835,366
SoutheasternBering,1997,72546.4730978046,365
SoutheasternBering,1998,64746.4919071304,365
SoutheasternBering,1999,80357.30227659087,365
SoutheasternBering,2000,63720.354685539074,366
SoutheasternBering,2001,8767.527683152297,365
SoutheasternBering,2002,58586.72566349151,365
SoutheasternBering,2003,22311.32435365432,365
SoutheasternBering,2004,40792.16780949015,366
SoutheasternBering,2005,20314.03884550185,365
SoutheasternBering,2006,64581.90112355679,365
SoutheasternBering,2007,65295.663022667475,365
SoutheasternBering,2008,93319.24588944354,366
SoutheasternBering,2009,85479.94048013432,365
SoutheasternBering,2010,92482.98616278132,365
SoutheasternBering,2011,60114.292436989694,365
SoutheasternBering,2012,119586.8990272873,366
SoutheasternBering,2013,89341.89916366142,365
SoutheasternBering,2014,22349.670816066733,365
SoutheasternBering,2015,28218.407656177747,365
SoutheasternBering,2016,10244.151983462078,366
SoutheasternBering,2017,41677.04754715785,365
SoutheasternBering,2018,5241.1673954391545,365
SoutheasternBering,2019,6139.089553417207,365
SoutheasternBering,2020,41119.5850729416,366
SoutheasternBering,2021,21479.01340288132,365
SoutheasternBering,2022,55493.78411450866,365
SoutheasternBering,2023,34127.78043828632,365
SoutheasternBering,2024,35345.366476726835,366
SoutheasternBering,2025,17848.709416141817,365
